Jurisdiction,Institution,Final_state,Evidence_cutoff,Search_closed,English_terms,Arabic_terms,Source_priority,Qualifying_locator_if_any,Closure_reason
Saudi Arabia,King Saud bin Abdulaziz University for Health Sciences,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site Arabic/English search; activity excluded as non-rule
Qatar,Community College of Qatar,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site Arabic/English documented search
Qatar,Al Rayyan International University College,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site documented search; plagiarism tool/research excluded as non-rule
Qatar,Virginia Commonwealth University School of the Arts in Qatar,E,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://blogs.vcu.edu/ico/2026/03/13/understanding-vcus-generative-ai-policy-responsible-ethical-and-safe-use-of-ai-on-campus/,central VCU policy applicability corroborated by VCUarts Qatar policy/student pages
Qatar,Qatar Aeronautical Academy,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site bilingual documented search
Qatar,Qatar Finance and Business Academy,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site bilingual documented search
Qatar,Qatar Leadership Centre,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official AI workshop excluded as non-rule
Qatar,Qatar Olympic Academy,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official GenAI course/activity excluded as non-rule
Oman,Modern College of Business and Science,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site bilingual search; research excluded as non-rule
Oman,Muscat College,P,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://muscatcollege.edu.om/std-portal/storage/59/6799b8d598cb0_UMPSA-Programme-Guide-2024-25-version3.0-Draft.pdf,official programme guide; substantive but narrower/uncertain scope
Oman,Sohar University,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://www.su.edu.om/student-handbooks/,cutoff-protective closure; later/non-qualifying GenAI material excluded
Oman,College of Sharia Sciences,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site bilingual documented search
Oman,Oman College of Health Sciences,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official regulations searched; generic integrity provisions do not meet AI gate
Oman,University of Technology and Applied Sciences,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official strategy/activity excluded as non-rule
Bahrain,Kingdom University,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy pages/handbooks; official regulator for eligibility/history; news/training/research not substitutable for rule,,"AI-specific newsletter and activity evidence located, but no adopted institution-wide pre-cutoff AI/GenAI rule was located under the bilingual official-source search."
Kuwait,Abdullah Al-Salem University,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site Arabic/English documented search
Kuwait,Arab Open University-Kuwait,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official regulations searched; generic integrity provisions do not meet AI gate
Kuwait,Kuwait Academy of Arts,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-source bilingual documented search
Kuwait,Public Authority for Applied Education and Training,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official AI activity excluded as non-rule
