Source_ID,Jurisdiction,Layer,Exact official document,Issuing authority,Year / date,Official URL,E/P/U justification / boundary,Verification status
KWT02,Kuwait,L1,International Conference on Artificial Intelligence: strategy in final stages,Central Agency for Information Technology,2024,https://cait.gov.kw/en/media-center/news-events/733/,No final strategy document located by cutoff; supports L1=P,Primary source checked
KWT03,Kuwait,L4,Generative Artificial Intelligence (GenAI) Policy for Kuwait University,Kuwait University,2024,https://www.ku.edu.kw/sites/default/files/2024-12/AI%20Policy%202024%20November%20-%20English.pdf,Formal institution-wide rule supports L4=E; does not close L2/L3,Primary source checked
KWT04,Kuwait,L4,University Council approval of the Generative Artificial Intelligence (GenAI) Policy,Kuwait University Council,2024,https://www.ku.edu.kw/media-center/news/mjls-aljamt-yqd-ajtmah-bryast-mdyr-jamt-alkwyt-balanabt-alastadh-aldktwr-asamt,Approval record corroborates status; policy PDF provides substantive provisions,Primary source checked
UAE06,United Arab Emirates,L3,Advisory Committee for Higher Education and Future Skills: Employing AI Technologies in Higher Education Group,Ministry of Higher Education and Scientific Research,2026,https://www.mohesr.gov.ae/En/MediaCenter/News/Pages/MoHESR%E2%80%99s-Advisory-Committee-for-Higher-Education-and-Future-Skills-reviews-achievements-of-national-working-groups-.aspx,Final inspectable sector instrument not located; supports L3=P,Primary source checked
QAT05,Qatar,L2,Principles and Guidelines for Ethical Use of Artificial Intelligence,Ministry of Communications and Information Technology,2024,https://www.mcit.gov.qa/wp-content/uploads/sites/4/2025/04/AI-Guidelines-_-En.pdf,Inspectable cross-sector guideline supports L2=E; not HE-specific,Primary source checked
GCC04,GCC,Regional,Final Statement of the Forty-Sixth Session: unified policies and legislation for the use of artificial intelligence,GCC Supreme Council,2025,https://www.gcc-sg.org/en/MediaCenter/News/Pages/news2025-12-3-3.aspx,Regional development evidence; not final unified strategy or binding HE regime,Primary source checked
BHR05,Bahrain,L4,Artificial Intelligence Usage Regulation (نظام استخدام الذكاء الاصطناعي),University of Bahrain / University Council,2025,https://governance.uob.edu.bh/view/297/entry/156/?pagenum=3,Formal institution-wide regulation supports L4=E; not sector-wide coverage.,Official UOB repository independently rechecked on 7 Sep 2026; Arabic and English regulation files are both linked from the official record.
KWT05,Kuwait,L2,AI Innovation Center / مركز الابتكار في الذكاء الاصطناعي,Central Agency for Information Technology,n.d.,https://cait.gov.kw/en/projects/cait-ai-innovation-center/,"Not a policy, ethics guide or public control standard; supports L2=P, not E. Current automated refetch was unavailable, so the record is not used to strengthen any E claim.",Primary official locator preserved; automated refetch timed out on 7 Sep 2026. Classification remains L2=P and is treated as locator-limited; no upgrade to E.
GCC05,GCC,Regional,Gulf Symposium on AI in Higher Education: Smart Transformation and Future Vision,GCC General Secretariat,2026,https://www.gcc-sg.org/ar/MediaCenter/News/Pages/news-2026-5-6-2.aspx,Process/agenda evidence only; excluded from six-state matrix and not a binding GCC-wide HE instrument.,Official GCC General Secretariat page independently rechecked on 7 Sep 2026; dated 6 May 2026.
UAE07,United Arab Emirates,L3,"University Guidebook for Outcome-Based Evaluation Framework (OBEF), Version 11.5",UAE Ministry of Higher Education and Scientific Research,23 Mar 2026,https://www.mohesr.gov.ae/Documents/OBF%20University%20Guide%20-%20EN.pdf,"Supports L3=P under the primary governance-control gate: it evaluates AI integration/readiness and asks whether HEIs provide guidance/training, but does not itself prescribe responsible-use rules/controls for assessment, disclosure, data, integrity or oversight. Under a deliberately broader HE operational-framework sensitivity, UAE can be treated as L3=E.",Official MoHESR PDF checked; pre-cutoff source; primary state adjudicated P; broader sensitivity recorded.
