Jurisdiction,Institution,Selected,Official_eligibility_source,Eligibility_authority
Oman,Muscat College,YES,https://eservices.moheri.gov.om/Student/PDF/PrivateUniversities%26Colleges.pdf,Ministry of Higher Education - Private Universities & Colleges
Oman,Sohar University,YES,https://eservices.moheri.gov.om/Student/PDF/PrivateUniversities%26Colleges.pdf,Ministry of Higher Education - Private Universities & Colleges
Oman,College of Sharia Sciences,YES,https://www.moheri.gov.om/InnerPage.aspx?ID=4438f693-dac7-4ad5-9c06-5ab179810b88&culture=en,"Ministry of Higher Education, Research and Innovation - Government Higher Education institutions"
Oman,Oman College of Health Sciences,YES,https://www.ochs.edu.om/,Oman College of Health Sciences official site (Royal Decree 18/2018; undergraduate degrees)
Oman,University of Technology and Applied Sciences,YES,https://www.moheri.gov.om/InnerPage.aspx?ID=4438f693-dac7-4ad5-9c06-5ab179810b88&culture=en,"Ministry of Higher Education, Research and Innovation - Government Higher Education institutions"
Bahrain,University of Bahrain,YES,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/,Education and Training Quality Authority (BQA) - Higher Education Reports
Bahrain,Bahrain Institute of Banking and Finance,YES,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/university-2318/,Official BQA/AGU institutional source
Bahrain,Ahlia University,YES,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/,Education and Training Quality Authority (BQA) - Higher Education Reports
Bahrain,Gulf University,YES,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/,Education and Training Quality Authority (BQA) - Higher Education Reports
Bahrain,Kingdom University,YES,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/,BQA Higher Education Reports index plus BQA institutional review
Bahrain,Arabian Gulf University,YES,https://www.agu.edu.bh/en/about-university/,Official BQA/AGU institutional source
Bahrain,Bahrain Polytechnic,YES,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/university-1819/,Official BQA/AGU institutional source
Kuwait,Kuwait University,YES,https://www.mohe.edu.kw/site/en/CustomPage?PageID=52,Ministry of Higher Education - entities affiliated with the Minister
Kuwait,Abdullah Al-Salem University,YES,https://www.mohe.edu.kw/site/en/CustomPage?PageID=52,Ministry of Higher Education - entities affiliated with the Minister
Kuwait,Arab Open University-Kuwait,YES,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/Education/Universities.aspx,State of Kuwait Government Online - Civil Universities List
Kuwait,Gulf University for Science and Technology,YES,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/Education/Universities.aspx,State of Kuwait Government Online - Civil Universities List
Kuwait,American University of Kuwait,YES,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/Education/Universities.aspx,State of Kuwait Government Online - Civil Universities List
Kuwait,Australian University,YES,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/Education/Universities.aspx,State of Kuwait Government Online - Civil Universities List
Kuwait,Public Authority for Applied Education and Training,YES,https://www.paaet.edu.kw/EN,Public Authority for Applied Education and Training (PAAET)
Kuwait,Kuwait Academy of Arts,YES,https://www.mohe.edu.kw/site/en/CustomPage?PageID=52,Ministry of Higher Education - entities affiliated with the Minister
